participantId,ai_group,wave,session_id,eval_start,pre_active_m2_ann,post_active_m2_ann
1991,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0255073188245565,-0.0111609868893688
1103,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0404873194312667,-0.0404873194312667
805,Risk-Neutral,wave3,15,2026-06-09,0.0065552880772589,0.0065552880772589
2318,Default,wave3,15,2026-06-09,-0.0808969422258991,-0.0794353204643258
2118,Somewhat Risk-Seeking,wave3,15,2026-06-09,0.010859356125775,-0.0304189971894517
2187,Default,wave3,15,2026-06-09,-0.1006547068707299,-0.0907632201591416
2307,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0320174804237281,-0.0205322708554287
2331,Default,wave3,15,2026-06-09,0.0125083188325956,0.002187466254095
396,Default,wave3,15,2026-06-09,-0.060482451431483,-0.087051413298325
1911,Default,wave3,15,2026-06-09,-0.0395026385547633,-0.0276489251376394
1864,Default,wave3,15,2026-06-09,-0.067476635392615,-0.0647427289521598
2261,Risk-Neutral,wave3,15,2026-06-09,-0.0085099035073774,-0.0085099035073774
1718,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.027462257968075,-0.0123280066845504
1871,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0108632190719504,-0.0108632190719504
600,Default,wave3,15,2026-06-09,-0.0120968501517935,-0.0176752292490046
1318,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.064407386622966,-0.0664282851461558
606,Somewhat Risk-Averse,wave3,15,2026-06-09,0.0004538038641612,0.0004538038641612
411,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0263994046831398,-0.0181424973512607
1083,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0123462654755693,-0.0123462654755693
1088,Risk-Neutral,wave3,15,2026-06-09,-0.0164074416442977,0.0112083710464103
860,Default,wave3,15,2026-06-09,-0.0541603636725635,-0.0548703524168431
995,Default,wave3,15,2026-06-09,-0.0417338385184074,-0.0417338385184074
1491,Risk-Neutral,wave3,15,2026-06-09,-0.0070319612878537,-0.0009973505715624
474,Risk-Neutral,wave3,15,2026-06-09,-0.0225124676181551,-0.0181822931658546
1104,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0794041603567388,-0.0794041603567388
2300,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0224816237313296,-0.0300616794791457
415,Risk-Neutral,wave3,15,2026-06-09,-0.0672806322974331,-0.0672806322974331
1452,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0482941897058928,-0.0482941897058928
2072,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0466864576280962,-0.0466864576280962
2170,Risk-Neutral,wave3,15,2026-06-09,-0.0365880386156063,-0.0359836386440988
742,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0292915018311742,-0.0434325998379378
2264,Extremely Risk-Averse,wave3,15,2026-06-09,0.0161158829927148,0.0158241124328882
703,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0624633669368839,-0.0680181082334878
188,Default,wave3,15,2026-06-09,-0.0061249103264633,0.0038246484722607
759,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0822307691444753,-0.0086869273123927
764,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0316989331546331,0.0006977661823128
1967,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0122279428251466,-0.0459141334444188
70,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.0244320357198867,0.0056676767278245
18,Risk-Neutral,wave3,15,2026-06-09,-0.0375317960650707,-0.0375317960650707
1089,Extremely Risk-Averse,wave3,15,2026-06-09,-0.0737099315314246,0.0036369109019723
2401,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0455765330084759,-0.0425565975433039
1434,Default,wave3,15,2026-06-09,-0.0359755170156339,-0.0358714175294051
1608,Extremely Risk-Seeking,wave3,15,2026-06-09,-0.0667540881920398,-0.0667540881920398
2214,Risk-Neutral,wave3,15,2026-06-09,-0.0810827804610597,-0.0367576379147855
1283,Extremely Risk-Averse,wave3,15,2026-06-09,0.0040543760554012,0.0050635100899168
1002,Somewhat Risk-Averse,wave3,15,2026-06-09,-0.008403331319223,-0.008403331319223
1614,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0203663339344308,-0.0330941046078635
592,Somewhat Risk-Seeking,wave3,15,2026-06-09,-0.0470241087090458,-0.0578417852060752
890,Somewhat Risk-Averse,wave3,15,2026-06-08,-0.0605235830153987,-0.0605235830153987
896,Risk-Neutral,wave3,15,2026-06-08,-0.0234440438710175,-0.0462727225546955
2135,Extremely Risk-Seeking,wave3,15,2026-06-08,-0.0560048547915734,-0.0690408409778128
1383,Risk-Neutral,wave3,15,2026-06-08,-0.0285836446637643,-0.0935038849359112
1257,Risk-Neutral,wave3,15,2026-06-08,-0.058780373604062,-0.058780373604062
2342,Somewhat Risk-Seeking,wave3,15,2026-06-08,-0.0900735900139295,-0.0077180771353633
921,Somewhat Risk-Seeking,wave3,15,2026-06-08,-0.0426818221938992,-0.0502970590601994
2403,Somewhat Risk-Seeking,wave3,15,2026-06-08,-0.0710277274267089,-0.0594652264245811
1774,Somewhat Risk-Averse,wave3,15,2026-06-08,-0.070643063661245,-0.0820281244938944
2338,Default,wave3,15,2026-06-08,-0.0279826197348987,-0.0279826197348987
1346,Default,wave3,15,2026-06-08,-0.0803134246880158,-0.0945705475738731
246,Risk-Neutral,wave3,15,2026-06-08,-0.0340142963148993,-0.0184694068394068
1949,Risk-Neutral,wave3,15,2026-06-08,-0.0395412554429122,-0.0459168286888493
2109,Somewhat Risk-Seeking,wave3,15,2026-06-08,-0.0624706487382598,-0.0624706487382598
89,Extremely Risk-Seeking,wave3,15,2026-06-08,-0.0505431209607005,-0.031610019544919
1616,Extremely Risk-Seeking,wave3,15,2026-06-08,-0.043251176331681,-0.0337614071323831
1307,Extremely Risk-Averse,wave3,15,2026-06-08,-0.0401579041583343,-0.0256382898830242
1619,Extremely Risk-Seeking,wave3,15,2026-06-08,-0.0769512770072379,-0.0769512770072379
2333,Default,wave3,15,2026-06-08,-0.077211033627794,-0.077211033627794
394,Risk-Neutral,wave3,15,2026-06-08,-0.0354089208667936,-0.0321866223197057
130,Somewhat Risk-Seeking,wave3,15,2026-06-08,0.0004225160817338,0.0153386047668943
2378,Default,wave3,15,2026-06-08,-0.0667671556460432,-0.0667671556460432
1227,Somewhat Risk-Averse,wave3,15,2026-06-08,-0.0572822357021277,-0.0572822357021277
476,Default,wave3,15,2026-06-08,-0.0662020904217851,-0.0662020904217851
1204,Risk-Neutral,wave3,15,2026-06-08,-0.0648194995618869,-0.0359238383734388
436,Somewhat Risk-Seeking,wave3,15,2026-06-08,-0.0098376487255587,-0.0205336892298697
575,Extremely Risk-Seeking,wave3,15,2026-06-08,-0.0498108860462822,-0.0498108860462822
1364,Extremely Risk-Seeking,wave3,15,2026-06-08,-0.0436098147436986,-0.0262934367687958
