participantId,priming_condition,wave,session_id,eval_start,pre_active_m2_ann,post_active_m2_ann
1281,risk-averse,wave2,13,2026-05-23,-0.0059226026716226,-0.0256279111723433
2259,risk-seeking,wave2,13,2026-05-23,0.0174805762408159,-0.0191632374859215
2176,risk-seeking,wave2,13,2026-05-23,-0.0887220848671782,-0.0879350090605092
1541,risk-averse,wave2,13,2026-05-23,-0.0681072668746731,-0.0566333323439108
598,risk-seeking,wave2,13,2026-05-23,-0.0740416015807848,-0.0267976787971347
1466,risk-averse,wave2,13,2026-05-23,-0.030951949291007,-0.0446258468047319
298,risk-seeking,wave2,13,2026-05-23,-0.0318392733644789,-0.0193633281970974
2359,risk-averse,wave2,13,2026-05-23,-0.0316996959663491,-0.0285113731568936
1795,risk-seeking,wave2,13,2026-05-23,-0.0725166508693547,-0.0713115288376894
617,risk-seeking,wave2,13,2026-05-23,-0.0133437714304615,-0.0133437714304615
1284,risk-seeking,wave2,13,2026-05-23,-0.0381138216330386,-0.0381138216330386
425,risk-averse,wave2,13,2026-05-23,-0.072131861121925,-0.0618144254600361
950,risk-seeking,wave2,13,2026-05-23,0.0091068768862971,0.0118182106825363
1702,risk-averse,wave2,13,2026-05-23,-0.00368980378648,-0.00368980378648
683,risk-averse,wave2,13,2026-05-23,-0.0233222546254545,-0.0255851046682717
795,risk-averse,wave2,13,2026-05-23,-0.0615332378639666,-0.0473827312657985
1685,risk-averse,wave2,13,2026-05-23,-0.0173093909188806,-0.0173093909188806
193,risk-averse,wave2,13,2026-05-23,-0.0627685199589025,-0.0584680095294837
1880,risk-averse,wave1,9,2026-05-12,-0.0369210977549126,-0.0369210977549126
1110,risk-averse,wave1,9,2026-05-12,-0.0400765080447724,-0.0454607653178786
363,risk-seeking,wave1,9,2026-05-12,-0.0320829905544026,-0.0219550680248411
2110,risk-averse,wave1,9,2026-05-12,-0.0485789065986193,-0.0485789065986193
389,risk-averse,wave1,9,2026-05-12,-0.0137091494252119,-0.0222025889751095
1653,risk-seeking,wave1,9,2026-05-12,-0.0485130130825442,-0.0279549855165181
1611,risk-averse,wave1,9,2026-05-12,-0.0322756899791137,-0.0386490524771724
1728,risk-seeking,wave1,9,2026-05-12,-0.0069482208570361,-0.0267621310097419
1687,risk-averse,wave1,9,2026-05-12,-0.0385947889696863,-0.0385947889696863
1925,risk-seeking,wave1,9,2026-05-12,-0.0186968742000445,-0.0186968742000445
1899,risk-averse,wave1,9,2026-05-12,-0.0563077213182234,-0.0563077213182234
